repo,prefix,status,rust_signal,description,top_level
platform/external/fec,platform,ok,androidbp,,"[{""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""ccsds.h""}, {""type"": ""file"", ""name"": ""char.h""}, {""type"": ""file"", ""name"": ""CleanSpec.mk""}, {""type"": ""file"", ""name"": ""config.guess""}, {""type"": ""file"", ""name"": ""config.h.in""}, {""type"": ""file"", ""name"": ""config.sub""}, {""type"": ""file"", ""name"": ""configure""}, {""type"": ""file"", ""name"": ""configure.in""}, {""type"": ""file"", ""name"": ""cpu_features.s""}, {""type"": ""file"", ""name"": ""cpu_mode_ppc.c""}, {""type"": ""file"", ""name"": ""cpu_mode_x86.c""}, {""type"": ""file"", ""name"": ""decode_rs.c""}, {""type"": ""file"", ""name"": ""decode_rs.h""}, {""type"": ""file"", ""name"": ""decode_rs_8.c""}, {""type"": ""file"", ""name"": ""decode_rs_ccsds.c""}, {""type"": ""file"", ""name"": ""decode_rs_char.c""}, {""type"": ""file"", ""name"": ""decode_rs_int.c""}, {""type"": ""file"", ""name"": ""dotprod.c""}, {""type"": ""file"", ""name"": ""dotprod.h""}, {""type"": ""file"", ""name"": ""dotprod_av.c""}, {""type"": ""file"", ""name"": ""dotprod_mmx.c""}, {""type"": ""file"", ""name"": ""dotprod_mmx_assist.s""}, {""type"": ""file"", ""name"": ""dotprod_port.c""}, {""type"": ""file"", ""name"": ""dotprod_sse2.c""}, {""type"": ""file"", ""name"": ""dotprod_sse2_assist.s""}, {""type"": ""file"", ""name"": ""dsp.3""}, {""type"": ""file"", ""name"": ""dtest.c""}, {""type"": ""file"", ""name"": ""encode_rs.c""}, {""type"": ""file"", ""name"": ""encode_rs.h""}, {""type"": ""file"", ""name"": ""encode_rs_8.c""}, {""type"": ""file"", ""name"": ""encode_rs_av.c""}, {""type"": ""file"", ""name"": ""encode_rs_ccsds.c""}, {""type"": ""file"", ""name"": ""encode_rs_char.c""}, {""type"": ""file"", ""name"": ""encode_rs_int.c""}, {""type"": ""file"", ""name"": ""exercise.c""}, {""type"": ""file"", ""name"": ""fec.c""}, {""type"": ""file"", ""name"": ""fec.h""}, {""type"": ""file"", ""name"": ""fixed.h""}, {""type"": ""file"", ""name"": ""gen_ccsds.c""}, {""type"": ""file"", ""name"": ""gen_ccsds_tal.c""}, {""type"": ""file"", ""name"": ""init_rs.c""}, {""type"": ""file"", ""name"": ""init_rs.h""}, {""type"": ""file"", ""name"": ""init_rs_char.c""}, {""type"": ""file"", ""name"": ""init_rs_int.c""}, {""type"": ""file"", ""name"": ""INSTALL""}, {""type"": ""file"", ""name"": ""install-sh""}, {""type"": ""file"", ""name"": ""int.h""}, {""type"": ""file"", ""name"": ""lesser.txt""}, {""type"": ""file"", ""name"": ""makefile.in""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""mmxbfly27.s""}, {""type"": ""file"", ""name"": ""mmxbfly29.s""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_LGPL""}, {""type"": ""file"", ""name"": ""NOTICE""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""peak_mmx_assist.s""}, {""type"": ""file"", ""name"": ""peak_sse2_assist.s""}, {""type"": ""file"", ""name"": ""peak_sse_assist.s""}, {""type"": ""file"", ""name"": ""peaktest.c""}, {""type"": ""file"", ""name"": ""peakval.c""}, {""type"": ""file"", ""name"": ""peakval_av.c""}, {""type"": ""file"", ""name"": ""peakval_mmx.c""}, {""type"": ""file"", ""name"": ""peakval_mmx_assist.s""}, {""type"": ""file"", ""name"": ""peakval_port.c""}, {""type"": ""file"", ""name"": ""peakval_sse.c""}, {""type"": ""file"", ""name"": ""peakval_sse2.c""}, {""type"": ""file"", ""name"": ""peakval_sse2_assist.s""}, {""type"": ""file"", ""name"": ""peakval_sse_assist.s""}, {""type"": ""file"", ""name"": ""README""}, {""type"": ""file"", ""name"": ""rs-common.h""}, {""type"": ""file"", ""name"": ""rs.3""}, {""type"": ""file"", ""name"": ""rs_speedtest.c""}, {""type"": ""file"", ""name"": ""rstest.c""}, {""type"": ""file"", ""name"": ""sim.c""}, {""type"": ""file"", ""name"": ""simd-viterbi.3""}, {""type"": ""file"", ""name"": ""sqtest.c""}, {""type"": ""file"", ""name"": ""sse2bfly27.s""}, {""type"": ""file"", ""name"": ""sse2bfly29.s""}, {""type"": ""file"", ""name"": ""ssebfly27.s""}, {""type"": ""file"", ""name"": ""ssebfly29.s""}, {""type"": ""file"", ""name"": ""sumsq.c""}, {""type"": ""file"", ""name"": ""sumsq_av.c""}, {""type"": ""file"", ""name"": ""sumsq_mmx.c""}, {""type"": ""file"", ""name"": ""sumsq_mmx_assist.s""}, {""type"": ""file"", ""name"": ""sumsq_port.c""}, {""type"": ""file"", ""name"": ""sumsq_sse2.c""}, {""type"": ""file"", ""name"": ""sumsq_sse2_assist.s""}, {""type"": ""file"", ""name"": ""sumsq_test.c""}, {""type"": ""file"", ""name"": ""viterbi27.c""}, {""type"": ""file"", ""name"": ""viterbi27_av.c""}, {""type"": ""file"", ""name"": ""viterbi27_mmx.c""}, {""type"": ""file"", ""name"": ""viterbi27_port.c""}, {""type"": ""file"", ""name"": ""viterbi27_sse.c""}, {""type"": ""file"", ""name"": ""viterbi27_sse2.c""}, {""type"": ""file"", ""name"": ""viterbi29.c""}, {""type"": ""file"", ""name"": ""viterbi29_av.c""}, {""type"": ""file"", ""name"": ""viterbi29_mmx.c""}, {""type"": ""file"", ""name"": ""viterbi29_port.c""}, {""type"": ""file"", ""name"": ""viterbi29_sse.c""}, {""type"": ""file"", ""name"": ""viterbi29_sse2.c""}, {""type"": ""file"", ""name"": ""viterbi39.c""}, {""type"": ""file"", ""name"": ""viterbi39_av.c""}, {""type"": ""file"", ""name"": ""viterbi39_mmx.c""}, {""type"": ""file"", ""name"": ""viterbi39_port.c""}, {""type"": ""file"", ""name"": ""viterbi39_sse.c""}, {""type"": ""file"", ""name"": ""viterbi39_sse2.c""}, {""type"": ""file"", ""name"": ""viterbi615.c""}, {""type"": ""file"", ""name"": ""viterbi615_av.c""}, {""type"": ""file"", ""name"": ""viterbi615_mmx.c""}, {""type"": ""file"", ""name"": ""viterbi615_port.c""}, {""type"": ""file"", ""name"": ""viterbi615_sse.c""}, {""type"": ""file"", ""name"": ""viterbi615_sse2.c""}, {""type"": ""file"", ""name"": ""vtest27.c""}, {""type"": ""file"", ""name"": ""vtest29.c""}, {""type"": ""file"", ""name"": ""vtest39.c""}, {""type"": ""file"", ""name"": ""vtest615.c""}]"
platform/external/federated-compute,platform,ok,androidbp,"Federated Compute Platform This repository hosts code for executing federated programs and computations. Definitions A federated computation is a set of processing steps that run on a server and set of clients, where each step is either local processing of values on the client or server or transport which moves values via broadcast (server-to-clients) select (client-server response) aggregate (clients-to-server). A federated computation invoked by a central coordinator returns one or more aggregates. A federated program is a set of processing steps run by a central coordinator that include one or more invocations of federated computation, transformations of computation results, and releases of aggregate values to the engineer/analyst who invoked the program. To learn more about these concepts, check out: Federated learning comic book from Google AI Federated Learning: Collaborative Machine Learning without Centralized Training Data Federated Analytics: Collaborative Data Science withou","[{""type"": ""dir"", ""name"": ""fcp""}, {""type"": ""dir"", ""name"": ""third_party""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""CONTRIBUTING""}, {""type"": ""file"", ""name"": ""GETTING_STARTED.md""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_APACHE2""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""PREUPLOAD.cfg""}, {""type"": ""file"", ""name"": ""README.md""}, {""type"": ""file"", ""name"": ""requirements.txt""}, {""type"": ""file"", ""name"": ""TEST_MAPPING""}, {""type"": ""file"", ""name"": ""WORKSPACE""}]"
platform/external/fff,platform,ok,,"Fake Function Framework (fff) A Fake Function Framework for C fff is a micro-framework for creating fake C functions for tests. Because life is too short to spend time hand-writing fake functions for testing. Hello fake world! Say you are testing an embedded user interface and you have a function that you want to create a fake for: // UI.c ... void DISPLAY_init (); ... Here's how you would define a fake function for this in your test suite: // test.c(pp) #include ""fff.h"" DEFINE_FFF_GLOBALS ; FAKE_VOID_FUNC ( DISPLAY_init ); And the unit test might look something like this: TEST_F ( GreeterTests , init_initialises_display ) { UI_init (); ASSERT_EQ ( DISPLAY_init_fake . call_count , 1 ); } So what has happened here? The first thing to note is that the framework is header only, all you need to do to use it is download fff.h and include it in your test suite. The magic is in the FAKE_VOID_FUNC . This expands a macro that defines a function returning void which has zero arguments. It also d","[{""type"": ""dir"", ""name"": ""examples""}, {""type"": ""dir"", ""name"": ""gtest""}, {""type"": ""dir"", ""name"": ""test""}, {""type"": ""file"", ""name"": "".gitignore""}, {""type"": ""file"", ""name"": "".travis.yml""}, {""type"": ""file"", ""name"": ""buildandtest""}, {""type"": ""file"", ""name"": ""fakegen.rb""}, {""type"": ""file"", ""name"": ""fff.h""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""Makefile""}, {""type"": ""file"", ""name"": ""README.md""}]"
platform/external/ffmpeg,platform,empty_ok,,,[]
platform/external/fft2d,platform,ok,androidbp,Bug: 199275786,"[{""type"": ""dir"", ""name"": ""src""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""CleanSpec.mk""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_NOTICE""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""README.android""}]"
platform/external/fhir/spec/r4,platform,ok,androidbp,Bug: 393180809,"[{""type"": ""dir"", ""name"": ""json_definitions""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_CC0-1.0""}, {""type"": ""file"", ""name"": ""OWNERS""}]"
platform/external/fio,platform,ok,,,"[{""type"": ""file"", ""name"": "".gitignore""}]"
platform/external/firebase-messaging,platform,ok,androidbp,Bug: 199275786,"[{""type"": ""dir"", ""name"": ""libs""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_APACHE2""}]"
platform/external/flac,platform,ok,androidbp,"Free Lossless Audio Codec (FLAC) FLAC is open source software that can reduce the amount of storage space needed to store digital audio signals without needing to remove information in doing so. The files read and produced by this software are called FLAC files. As these files (which follow the FLAC format ) can be read from and written to by other software as well, this software is often referred to as the FLAC reference implementation. FLAC has been developed by volunteers. If you want to help out, see CONTRIBUTING.md for more information. Components FLAC is comprised of libFLAC, a library which implements reference encoders and decoders for native FLAC and Ogg FLAC, and a metadata interface libFLAC++, a C++ object wrapper library around libFLAC flac , a command-line program for encoding and decoding files metaflac , a command-line program for viewing and editing FLAC metadata user and API documentation The libraries (libFLAC, libFLAC++) are licensed under Xiph.org's BSD-like license","[{""type"": ""dir"", ""name"": "".github""}, {""type"": ""dir"", ""name"": ""cmake""}, {""type"": ""dir"", ""name"": ""doc""}, {""type"": ""dir"", ""name"": ""examples""}, {""type"": ""dir"", ""name"": ""fuzzer""}, {""type"": ""dir"", ""name"": ""include""}, {""type"": ""dir"", ""name"": ""m4""}, {""type"": ""dir"", ""name"": ""man""}, {""type"": ""dir"", ""name"": ""microbench""}, {""type"": ""dir"", ""name"": ""oss-fuzz""}, {""type"": ""dir"", ""name"": ""src""}, {""type"": ""dir"", ""name"": ""test""}, {""type"": ""file"", ""name"": "".clang-format""}, {""type"": ""file"", ""name"": "".gitignore""}, {""type"": ""file"", ""name"": "".gitlab-ci.yml""}, {""type"": ""file"", ""name"": "".travis.yml""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""AUTHORS""}, {""type"": ""file"", ""name"": ""autogen.sh""}, {""type"": ""file"", ""name"": ""CHANGELOG.md""}, {""type"": ""file"", ""name"": ""CMakeLists.txt""}, {""type"": ""file"", ""name"": ""config.cmake.h.in""}, {""type"": ""file"", ""name"": ""config.h""}, {""type"": ""file"", ""name"": ""configure.ac""}, {""type"": ""file"", ""name"": ""CONTRIBUTING.md""}, {""type"": ""file"", ""name"": ""COPYING.FDL""}, {""type"": ""file"", ""name"": ""COPYING.GPL""}, {""type"": ""file"", ""name"": ""COPYING.LGPL""}, {""type"": ""file"", ""name"": ""COPYING.Xiph""}, {""type"": ""file"", ""name"": ""flac-config.cmake.in""}, {""type"": ""file"", ""name"": ""Makefile.am""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_BSD_LIKE""}, {""type"": ""file"", ""name"": ""NOTICE""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""PREUPLOAD.cfg""}, {""type"": ""file"", ""name"": ""README.md""}]"
platform/external/flashbench,platform,ok,,,"[{""type"": ""file"", ""name"": ""Android.mk""}, {""type"": ""file"", ""name"": ""COPYING""}, {""type"": ""file"", ""name"": ""dev.c""}, {""type"": ""file"", ""name"": ""dev.h""}, {""type"": ""file"", ""name"": ""erase.c""}, {""type"": ""file"", ""name"": ""flashbench.c""}, {""type"": ""file"", ""name"": ""Makefile""}, {""type"": ""file"", ""name"": ""README""}, {""type"": ""file"", ""name"": ""README.version""}, {""type"": ""file"", ""name"": ""vm.c""}, {""type"": ""file"", ""name"": ""vm.h""}]"
platform/external/flashrom,platform,ok,androidbp,Bug: 346988262,"[{""type"": ""dir"", ""name"": "".github""}, {""type"": ""dir"", ""name"": ""bindings""}, {""type"": ""dir"", ""name"": ""doc""}, {""type"": ""dir"", ""name"": ""include""}, {""type"": ""dir"", ""name"": ""meson_cross""}, {""type"": ""dir"", ""name"": ""platform""}, {""type"": ""dir"", ""name"": ""scripts""}, {""type"": ""dir"", ""name"": ""subprojects""}, {""type"": ""dir"", ""name"": ""tests""}, {""type"": ""dir"", ""name"": ""util""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": "".gitattributes""}, {""type"": ""file"", ""name"": "".gitignore""}, {""type"": ""file"", ""name"": ""82802ab.c""}, {""type"": ""file"", ""name"": ""action_descriptor.c""}, {""type"": ""file"", ""name"": ""action_descriptor.h""}, {""type"": ""file"", ""name"": ""amd_imc.c""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""asm106x.c""}, {""type"": ""file"", ""name"": ""at45db.c""}, {""type"": ""file"", ""name"": ""atahpt.c""}, {""type"": ""file"", ""name"": ""atapromise.c""}, {""type"": ""file"", ""name"": ""atavia.c""}, {""type"": ""file"", ""name"": ""big_lock.c""}, {""type"": ""file"", ""name"": ""big_lock.h""}, {""type"": ""file"", ""name"": ""bitbang_spi.c""}, {""type"": ""file"", ""name"": ""board_enable.c""}, {""type"": ""file"", ""name"": ""buspirate_spi.c""}, {""type"": ""file"", ""name"": ""cbtable.c""}, {""type"": ""file"", ""name"": ""ch341a_spi.c""}, {""type"": ""file"", ""name"": ""ch347_spi.c""}, {""type"": ""file"", ""name"": ""chipset_enable.c""}, {""type"": ""file"", ""name"": ""cli_classic.c""}, {""type"": ""file"", ""name"": ""cli_common.c""}, {""type"": ""file"", ""name"": ""cli_getopt.c""}, {""type"": ""file"", ""name"": ""cli_output.c""}, {""type"": ""file"", ""name"": ""COPYING""}, {""type"": ""file"", ""name"": ""cros_ec.c""}, {""type"": ""file"", ""name"": ""cros_ec_commands.h""}, {""type"": ""file"", ""name"": ""custom_baud.c""}, {""type"": ""file"", ""name"": ""custom_baud_darwin.c""}, {""type"": ""file"", ""name"": ""custom_baud_linux.c""}, {""type"": ""file"", ""name"": ""dediprog.c""}, {""type"": ""file"", ""name"": ""developerbox_spi.c""}, {""type"": ""file"", ""name"": ""digilent_spi.c""}, {""type"": ""file"", ""name"": ""DIR_METADATA""}, {""type"": ""file"", ""name"": ""dirtyjtag_spi.c""}, {""type"": ""file"", ""name"": ""dmi.c""}, {""type"": ""file"", ""name"": ""Doxyfile""}, {""type"": ""file"", ""name"": ""drkaiser.c""}, {""type"": ""file"", ""name"": ""dummyflasher.c""}, {""type"": ""file"", ""name"": ""edi.c""}, {""type"": ""file"", ""name"": ""en29lv640b.c""}, {""type"": ""file"", ""name"": ""erasure_layout.c""}, {""type"": ""file"", ""name"": ""file_lock.c""}, {""type"": ""file"", ""name"": ""flashchips.c""}, {""type"": ""file"", ""name"": ""flashchips_crosbl.c""}, {""type"": ""file"", ""name"": ""flashrom.c""}, {""type"": ""file"", ""name"": ""flashrom.rc""}, {""type"": ""file"", ""name"": ""fmap.c""}, {""type"": ""file"", ""name"": ""ft2232_spi.c""}, {""type"": ""file"", ""name"": ""gfxnvidia.c""}, {""type"": ""file"", ""name"": ""helpers.c""}, {""type"": ""file"", ""name"": ""helpers_fileio.c""}, {""type"": ""file"", ""name"": ""hwaccess_physmap.c""}, {""type"": ""file"", ""name"": ""hwaccess_x86_io.c""}, {""type"": ""file"", ""name"": ""hwaccess_x86_msr.c""}, {""type"": ""file"", ""name"": ""i2c_helper_linux.c""}, {""type"": ""file"", ""name"": ""ich_descriptors.c""}, {""type"": ""file"", ""name"": ""ichspi.c""}, {""type"": ""file"", ""name"": ""internal.c""}, {""type"": ""file"", ""name"": ""internal_par.c""}, {""type"": ""file"", ""name"": ""ipc_lock.h""}, {""type"": ""file"", ""name"": ""it8212.c""}, {""type"": ""file"", ""name"": ""it87spi.c""}, {""type"": ""file"", ""name"": ""jedec.c""}, {""type"": ""file"", ""name"": ""jlink_spi.c""}, {""type"": ""file"", ""name"": ""known_boards.c""}, {""type"": ""file"", ""name"": ""layout.c""}, {""type"": ""file"", ""name"": ""libflashrom.c""}, {""type"": ""file"", ""name"": ""libflashrom.map""}, {""type"": ""file"", ""name"": ""linux_mtd.c""}, {""type"": ""file"", ""name"": ""linux_spi.c""}, {""type"": ""file"", ""name"": ""MAINTAINERS""}, {""type"": ""file"", ""name"": ""mcp6x_spi.c""}, {""type"": ""file"", ""name"": ""mediatek_i2c_spi.c""}, {""type"": ""file"", ""name"": ""meson.build""}, {""type"": ""file"", ""name"": ""meson_options.txt""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_GPL2""}, {""type"": ""file"", ""name"": ""mstarddc_spi.c""}, {""type"": ""file"", ""name"": ""ni845x_spi.c""}, {""type"": ""file"", ""name"": ""nic3com.c""}, {""type"": ""file"", ""name"": ""nicintel.c""}, {""type"": ""file"", ""name"": ""nicintel_eeprom.c""}, {""type"": ""file"", ""name"": ""nicintel_spi.c""}, {""type"": ""file"", ""name"": ""nicnatsemi.c""}, {""type"": ""file"", ""name"": ""nicrealtek.c""}, {""type"": ""file"", ""name"": ""ogp_spi.c""}, {""type"": ""file"", ""name"": ""opaque.c""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""OWNERS.android""}, {""type"": ""file"", ""name"": ""parade_lspcon.c""}, {""type"": ""file"", ""name"": ""parallel.c""}, {""type"": ""file"", ""name"": ""pcidev.c""}, {""type"": ""file"", ""name"": ""pickit2_spi.c""}, {""type"": ""file"", ""name"": ""pony_spi.c""}, {""type"": ""file"", ""name"": ""power.c""}, {""type"": ""file"", ""name"": ""power.h""}, {""type"": ""file"", ""name"": ""PRESUBMIT.cfg""}, {""type"": ""file"", ""name"": ""print.c""}, {""type"": ""file"", ""name"": ""print_wiki.c""}, {""type"": ""file"", ""name"": ""printlock.c""}, {""type"": ""file"", ""name"": ""processor_enable.c""}, {""type"": ""file"", ""name"": ""programmer.c""}, {""type"": ""file"", ""name"": ""programmer_table.c""}, {""type"": ""file"", ""name"": ""raiden_debug_spi.c""}, {""type"": ""file"", ""name"": ""rayer_spi.c""}, {""type"": ""file"", ""name"": ""README.chromiumos""}, {""type"": ""file"", ""name"": ""README.rst""}, {""type"": ""file"", ""name"": ""realtek_mst_i2c_spi.c""}, {""type"": ""file"", ""name"": ""s25f.c""}, {""type"": ""file"", ""name"": ""satamv.c""}, {""type"": ""file"", ""name"": ""satasii.c""}, {""type"": ""file"", ""name"": ""sb600spi.c""}, {""type"": ""file"", ""name"": ""serial.c""}, {""type"": ""file"", ""name"": ""serprog.c""}, {""type"": ""file"", ""name"": ""sfdp.c""}, {""type"": ""file"", ""name"": ""spi.c""}, {""type"": ""file"", ""name"": ""spi25.c""}, {""type"": ""file"", ""name"": ""spi25_statusreg.c""}, {""type"": ""file"", ""name"": ""spi95.c""}, {""type"": ""file"", ""name"": ""sst28sf040.c""}, {""type"": ""file"", ""name"": ""sst49lfxxxc.c""}, {""type"": ""file"", ""name"": ""sst_fwhub.c""}, {""type"": ""file"", ""name"": ""stlinkv3_spi.c""}, {""type"": ""file"", ""name"": ""stm50.c""}, {""type"": ""file"", ""name"": ""superio.c""}, {""type"": ""file"", ""name"": ""test_build.sh""}, {""type"": ""file"", ""name"": ""udelay.c""}, {""type"": ""file"", ""name"": ""udelay_dos.c""}, {""type"": ""file"", ""name"": ""unblocked_terms.txt""}, {""type"": ""file"", ""name"": ""usb_device.c""}, {""type"": ""file"", ""name"": ""usbblaster_spi.c""}, {""type"": ""file"", ""name"": ""usbdev.c""}, {""type"": ""file"", ""name"": ""VERSION""}, {""type"": ""file"", ""name"": ""w29ee011.c""}, {""type"": ""file"", ""name"": ""w39.c""}, {""type"": ""file"", ""name"": ""wbsio_spi.c""}, {""type"": ""file"", ""name"": ""writeprotect.c""}, {""type"": ""file"", ""name"": ""writeprotect_ranges.c""}]"
platform/external/flatbuffers,platform,ok,"androidbp,rust_dir","FlatBuffers FlatBuffers is a cross platform serialization library architected for maximum memory efficiency. It allows you to directly access serialized data without parsing/unpacking it first, while still having great forwards/backwards compatibility. Quick Start Build the compiler for flatbuffers ( flatc ) Use cmake to create the build files for your platform and then perform the compilation (Linux example). cmake -G ""Unix Makefiles"" make -j Define your flatbuffer schema ( .fbs ) Write the schema to define the data you want to serialize. See monster.fbs for an example. Generate code for your language(s) Use the flatc compiler to take your schema and generate language-specific code: ./flatc --cpp --rust monster.fbs Which generates monster_generated.h and monster_generated.rs files. Serialize data Use the generated code, as well as the FlatBufferBuilder to construct your serialized buffer. ( C++ example ) Transmit/store/save Buffer Use your serialized buffer however you want. Send it t","[{""type"": ""dir"", ""name"": "".bazelci""}, {""type"": ""dir"", ""name"": "".github""}, {""type"": ""dir"", ""name"": ""android""}, {""type"": ""dir"", ""name"": ""bazel""}, {""type"": ""dir"", ""name"": ""benchmarks""}, {""type"": ""dir"", ""name"": ""CMake""}, {""type"": ""dir"", ""name"": ""conan""}, {""type"": ""dir"", ""name"": ""dart""}, {""type"": ""dir"", ""name"": ""docs""}, {""type"": ""dir"", ""name"": ""docs-old""}, {""type"": ""dir"", ""name"": ""examples""}, {""type"": ""dir"", ""name"": ""go""}, {""type"": ""dir"", ""name"": ""goldens""}, {""type"": ""dir"", ""name"": ""grpc""}, {""type"": ""dir"", ""name"": ""include""}, {""type"": ""dir"", ""name"": ""java""}, {""type"": ""dir"", ""name"": ""js""}, {""type"": ""dir"", ""name"": ""kotlin""}, {""type"": ""dir"", ""name"": ""lobster""}, {""type"": ""dir"", ""name"": ""lua""}, {""type"": ""dir"", ""name"": ""mjs""}, {""type"": ""dir"", ""name"": ""net""}, {""type"": ""dir"", ""name"": ""nim""}, {""type"": ""dir"", ""name"": ""php""}, {""type"": ""dir"", ""name"": ""python""}, {""type"": ""dir"", ""name"": ""reflection""}, {""type"": ""dir"", ""name"": ""rust""}, {""type"": ""dir"", ""name"": ""samples""}, {""type"": ""dir"", ""name"": ""scripts""}, {""type"": ""dir"", ""name"": ""snap""}, {""type"": ""dir"", ""name"": ""src""}, {""type"": ""dir"", ""name"": ""swift""}, {""type"": ""dir"", ""name"": ""tests""}, {""type"": ""dir"", ""name"": ""ts""}, {""type"": ""file"", ""name"": "".bazelignore""}, {""type"": ""file"", ""name"": "".bazelrc""}, {""type"": ""file"", ""name"": "".clang-format""}, {""type"": ""file"", ""name"": "".clang-tidy""}, {""type"": ""file"", ""name"": "".editorconfig""}, {""type"": ""file"", ""name"": "".eslintrc.js""}, {""type"": ""file"", ""name"": "".gitattributes""}, {""type"": ""file"", ""name"": "".gitignore""}, {""type"": ""file"", ""name"": "".npmrc""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""BUILD.bazel""}, {""type"": ""file"", ""name"": ""build_defs.bzl""}, {""type"": ""file"", ""name"": ""CHANGELOG.md""}, {""type"": ""file"", ""name"": ""CMakeLists.txt""}, {""type"": ""file"", ""name"": ""composer.json""}, {""type"": ""file"", ""name"": ""conanfile.py""}, {""type"": ""file"", ""name"": ""CONTRIBUTING.md""}, {""type"": ""file"", ""name"": ""extensions.bzl""}, {""type"": ""file"", ""name"": ""FlatBuffers.podspec""}, {""type"": ""file"", ""name"": ""Formatters.md""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""MODULE.bazel""}, {""type"": ""file"", ""name"": ""MODULE_LICENSE_APACHE2""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""package.json""}, {""type"": ""file"", ""name"": ""Package.swift""}, {""type"": ""file"", ""name"": ""pnpm-lock.yaml""}, {""type"": ""file"", ""name"": ""README.android""}, {""type"": ""file"", ""name"": ""README.md""}, {""type"": ""file"", ""name"": ""SECURITY.md""}, {""type"": ""file"", ""name"": ""swift.swiftformat""}, {""type"": ""file"", ""name"": ""TEST_MAPPING""}, {""type"": ""file"", ""name"": ""tsconfig.json""}, {""type"": ""file"", ""name"": ""tsconfig.mjs.json""}, {""type"": ""file"", ""name"": ""typescript.bzl""}]"
